east_station_id,west_station_id,normalized_along_gulf_coordinate,xi_mismatch,east_alongshore_distance_m,west_alongshore_distance_m,east_distance_to_20m_isobath,west_distance_to_20m_isobath,east_raw_source_id,west_raw_source_id,east_median_top3_response,west_median_top3_response
east_0083,west_0086,0.240891149118,0.000314541582665,41500,43000,14.0410951788,450.062435587,gmrt_shore_blend,gmrt_shore_blend,16.8576261061,7.3963755071
east_0084,west_0087,0.243793452119,0.000419442170885,42000,43500,19.8083540976,481.724090051,gmrt_shore_blend,gmrt_shore_blend,18.4864156385,4.61194849947
east_0085,west_0088,0.246695755121,0.000524342759105,42500,44000,20.504034009,266.607065518,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0086,west_0089,0.249598058122,0.000629243347325,43000,44500,11.3590129658,201.778466787,gmrt_shore_blend,gmrt_shore_blend,nan,6.85377274734
east_0087,west_0090,0.252500361124,0.000734143935545,43500,45000,14.0252800792,212.536347367,gmrt_shore_blend,gmrt_shore_blend,nan,5.95906274432
east_0088,west_0091,0.255402664125,0.000839044523766,44000,45500,34.7926032823,478.190332969,gmrt_shore_blend,gmrt_shore_blend,nan,5.79041946285
east_0089,west_0092,0.258304967126,0.000943945111986,44500,46000,67.8849213421,403.807540042,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0090,west_0093,0.261207270128,0.00104884570021,45000,46500,36.0713909676,472.781643073,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0091,west_0094,0.264109573129,0.00115374628843,45500,47000,29.4896823399,408.654470106,copernicus_a2_land_core,gmrt_shore_blend,nan,6.14880558743
east_0092,west_0095,0.267011876131,0.00125864687665,46000,47500,34.7071285283,348.907520256,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0093,west_0096,0.269914179132,0.00136354746487,46500,48000,13.8729829052,383.446716837,gmrt_shore_blend,gmrt_shore_blend,nan,3.1703576157
east_0094,west_0098,0.272816482134,0.00132895436011,47000,49000,16.2709829825,198.637511645,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0095,west_0099,0.275718785135,0.00122405377189,47500,49500,6.80225527734,148.67872118,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0096,west_0100,0.278621088136,0.00111915318367,48000,50000,8.64511347968,167.077790395,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0097,west_0101,0.281523391138,0.00101425259545,48500,50500,7.95033941266,145.589603768,copernicus_a2_land_core,gmrt_core,nan,nan
east_0098,west_0102,0.284425694139,0.000909352007234,49000,51000,12.418605647,174.535967228,gmrt_shore_blend,gmrt_core,nan,5.62186791555
east_0099,west_0103,0.287327997141,0.000804451419014,49500,51500,12.8827777269,240.522021326,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0100,west_0104,0.290230300142,0.000699550830794,50000,52000,8.72512564899,174.603685688,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0101,west_0105,0.293132603143,0.000594650242574,50500,52500,21.0333383923,220.122324874,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0102,west_0106,0.296034906145,0.000489749654354,51000,53000,10.3593812719,142.99122388,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0103,west_0107,0.298937209146,0.000384849066134,51500,53500,6.79470993896,197.486351037,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0104,west_0108,0.301839512148,0.000279948477914,52000,54000,1.7017809084,269.359575559,gmrt_shore_blend,gmrt_core,nan,nan
east_0105,west_0109,0.304741815149,0.000175047889693,52500,54500,2.62454272692,476.818884789,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
