side,station_id,distance_offshore_m,bed_elevation_m,water_depth_m,source_topo_id,native_resolution_m,effective_resolution_m,valid_source_data
east,east_0080,1050,-398.314841055,398.314841055,topo-bathy.tt3,30,30,true
east,east_0080,1100,-411.293204026,411.293204026,topo-bathy.tt3,30,30,true
east,east_0080,1150,-424.482977953,424.482977953,topo-bathy.tt3,30,30,true
east,east_0080,1200,-437.785323916,437.785323916,topo-bathy.tt3,30,30,true
east,east_0080,1250,-450.994887844,450.994887844,topo-bathy.tt3,30,30,true
east,east_0080,1300,-464.359071967,464.359071967,topo-bathy.tt3,30,30,true
east,east_0080,1350,-478.047781511,478.047781511,topo-bathy.tt3,30,30,true
east,east_0080,1400,-491.312582584,491.312582584,topo-bathy.tt3,30,30,true
east,east_0080,1450,-504.687969755,504.687969755,topo-bathy.tt3,30,30,true
east,east_0080,1500,-517.36607087,517.36607087,topo-bathy.tt3,30,30,true
east,east_0080,1550,-529.903569394,529.903569394,topo-bathy.tt3,30,30,true
east,east_0080,1600,-542.052767681,542.052767681,topo-bathy.tt3,30,30,true
east,east_0080,1650,-554.33777763,554.33777763,topo-bathy.tt3,30,30,true
east,east_0080,1700,-566.349398878,566.349398878,topo-bathy.tt3,30,30,true
east,east_0080,1750,-578.010581867,578.010581867,topo-bathy.tt3,30,30,true
east,east_0080,1800,-589.504424393,589.504424393,topo-bathy.tt3,30,30,true
east,east_0080,1850,-600.623286312,600.623286312,topo-bathy.tt3,30,30,true
east,east_0080,1900,-611.076126957,611.076126957,topo-bathy.tt3,30,30,true
east,east_0080,1950,-620.588031622,620.588031622,topo-bathy.tt3,30,30,true
east,east_0080,2000,-629.28324615,629.28324615,topo-bathy.tt3,30,30,true
east,east_0100,0,-7.55150867509,7.55150867509,topo-bathy.tt3,30,30,true
east,east_0100,50,-78.8885405169,78.8885405169,topo-bathy.tt3,30,30,true
east,east_0100,100,-120.027337221,120.027337221,topo-bathy.tt3,30,30,true
east,east_0100,150,-58.07956482,58.07956482,topo-bathy.tt3,30,30,true
east,east_0100,200,-98.8639863076,98.8639863076,topo-bathy.tt3,30,30,true
east,east_0100,250,-158.992527814,158.992527814,topo-bathy.tt3,30,30,true
east,east_0100,300,-218.827639601,218.827639601,topo-bathy.tt3,30,30,true
east,east_0100,350,-283.733778908,283.733778908,topo-bathy.tt3,30,30,true
east,east_0100,400,-355.520705633,355.520705633,topo-bathy.tt3,30,30,true
east,east_0100,450,-428.584121628,428.584121628,topo-bathy.tt3,30,30,true
east,east_0100,500,-487.491896823,487.491896823,topo-bathy.tt3,30,30,true
east,east_0100,550,-526.324987195,526.324987195,topo-bathy.tt3,30,30,true
east,east_0100,600,-558.1062111,558.1062111,topo-bathy.tt3,30,30,true
east,east_0100,650,-609.482817473,609.482817473,topo-bathy.tt3,30,30,true
east,east_0100,700,-658.542690578,658.542690578,topo-bathy.tt3,30,30,true
east,east_0100,750,-686.908077638,686.908077638,topo-bathy.tt3,30,30,true
east,east_0100,800,-702.50642845,702.50642845,topo-bathy.tt3,30,30,true
east,east_0100,850,-711.302854609,711.302854609,topo-bathy.tt3,30,30,true
east,east_0100,900,-717.869154115,717.869154115,topo-bathy.tt3,30,30,true
east,east_0100,950,-721.906191122,721.906191122,topo-bathy.tt3,30,30,true
east,east_0100,1000,-724.499958326,724.499958326,topo-bathy.tt3,30,30,true
east,east_0100,1050,-727.824443612,727.824443612,topo-bathy.tt3,30,30,true
east,east_0100,1100,-729.086278142,729.086278142,topo-bathy.tt3,30,30,true
east,east_0100,1150,-729.885540368,729.885540368,topo-bathy.tt3,30,30,true
east,east_0100,1200,-730.605939372,730.605939372,topo-bathy.tt3,30,30,true
east,east_0100,1250,-732.42843745,732.42843745,topo-bathy.tt3,30,30,true
east,east_0100,1300,-736.491010165,736.491010165,topo-bathy.tt3,30,30,true
east,east_0100,1350,-740.311463077,740.311463077,topo-bathy.tt3,30,30,true
east,east_0100,1400,-744.60942141,744.60942141,topo-bathy.tt3,30,30,true
east,east_0100,1450,-749.216959254,749.216959254,topo-bathy.tt3,30,30,true
east,east_0100,1500,-753.190521726,753.190521726,topo-bathy.tt3,30,30,true
east,east_0100,1550,-756.084104577,756.084104577,topo-bathy.tt3,30,30,true
east,east_0100,1600,-757.846127631,757.846127631,topo-bathy.tt3,30,30,true
east,east_0100,1650,-760.15572631,760.15572631,topo-bathy.tt3,30,30,true
east,east_0100,1700,-762.805404671,762.805404671,topo-bathy.tt3,30,30,true
east,east_0100,1750,-765.691407322,765.691407322,topo-bathy.tt3,30,30,true
east,east_0100,1800,-768.809941787,768.809941787,topo-bathy.tt3,30,30,true
east,east_0100,1850,-772.819637857,772.819637857,topo-bathy.tt3,30,30,true
